content_count,num_authors,num_authors_at_least
9,1,12637
10,3,12636
11,6,12633
12,4,12627
13,5,12623
14,3,12618
15,9,12615
16,4,12606
17,5,12602
18,7,12597
19,9,12590
20,10,12581
21,9,12571
22,12,12562
23,16,12550
24,14,12534
25,13,12520
26,13,12507
27,18,12494
28,7,12476
29,14,12469
30,16,12455
31,23,12439
32,23,12416
33,14,12393
34,14,12379
35,23,12365
36,17,12342
37,22,12325
38,17,12303
39,22,12286
40,19,12264
41,23,12245
42,22,12222
43,25,12200
44,24,12175
45,22,12151
46,22,12129
47,18,12107
48,19,12089
49,28,12070
50,18,12042
51,17,12024
52,21,12007
53,21,11986
54,29,11965
55,29,11936
56,24,11907
57,26,11883
58,37,11857
59,26,11820
60,26,11794
61,25,11768
62,31,11743
63,36,11712
64,33,11676
65,28,11643
66,23,11615
67,27,11592
68,33,11565
69,29,11532
70,32,11503
71,35,11471
72,32,11436
73,24,11404
74,29,11380
75,30,11351
76,20,11321
77,24,11301
78,31,11277
79,30,11246
80,25,11216
81,31,11191
82,24,11160
83,30,11136
84,32,11106
85,34,11074
86,33,11040
87,29,11007
88,28,10978
89,17,10950
90,32,10933
91,34,10901
92,27,10867
93,23,10840
94,25,10817
95,29,10792
96,28,10763
97,25,10735
98,33,10710
99,36,10677
100,31,10641
101,15,10610
102,22,10595
103,18,10573
104,22,10555
105,29,10533
106,31,10504
107,24,10473
108,26,10449
109,28,10423
110,30,10395
111,24,10365
112,30,10341
113,19,10311
114,32,10292
115,21,10260
116,36,10239
117,28,10203
118,20,10175
119,20,10155
120,21,10135
121,25,10114
122,27,10089
123,31,10062
124,26,10031
125,18,10005
126,24,9987
127,32,9963
128,21,9931
129,22,9910
130,21,9888
131,24,9867
132,24,9843
133,30,9819
134,20,9789
135,25,9769
136,21,9744
137,23,9723
138,22,9700
139,25,9678
140,21,9653
141,23,9632
142,24,9609
143,32,9585
144,22,9553
145,31,9531
146,25,9500
147,16,9475
148,25,9459
149,17,9434
150,23,9417
151,12,9394
152,33,9382
153,18,9349
154,25,9331
155,22,9306
156,25,9284
157,26,9259
158,27,9233
159,24,9206
160,18,9182
161,21,9164
162,26,9143
163,28,9117
164,25,9089
165,18,9064
166,22,9046
167,23,9024
168,16,9001
169,22,8985
170,13,8963
171,21,8950
172,15,8929
173,20,8914
174,20,8894
175,23,8874
176,23,8851
177,21,8828
178,20,8807
179,24,8787
180,24,8763
181,19,8739
182,20,8720
183,17,8700
184,24,8683
185,27,8659
186,20,8632
187,15,8612
188,26,8597
189,17,8571
190,29,8554
191,18,8525
192,17,8507
193,17,8490
194,12,8473
195,13,8461
196,23,8448
197,19,8425
198,10,8406
199,21,8396
200,18,8375
201,14,8357
202,18,8343
203,15,8325
204,21,8310
205,19,8289
206,17,8270
207,15,8253
208,13,8238
209,19,8225
210,26,8206
211,10,8180
212,19,8170
213,12,8151
214,23,8139
215,20,8116
216,15,8096
217,21,8081
218,15,8060
219,18,8045
220,16,8027
221,21,8011
222,18,7990
223,18,7972
224,20,7954
225,18,7934
226,17,7916
227,11,7899
228,13,7888
229,18,7875
230,21,7857
231,17,7836
232,17,7819
233,15,7802
234,20,7787
235,14,7767
236,10,7753
237,15,7743
238,18,7728
239,19,7710
240,21,7691
